Hour,InfectedMost,SpreadMost,NotDead,Dead,Infected,Quarantined
110,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
111,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
112,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
113,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
114,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
115,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
116,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
117,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
118,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
119,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
120,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
121,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
122,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
123,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
124,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
125,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
126,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
127,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
128,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
129,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
130,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
131,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
132,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
133,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
134,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
135,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
136,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
137,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
138,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
139,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
140,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
141,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
142,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
143,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
144,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
145,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
146,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
147,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
148,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
149,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
150,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
151,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
152,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
153,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
154,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
155,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
156,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
157,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
158,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
159,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
160,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
161,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
162,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
163,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
164,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
165,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
166,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
167,,dd2db6d7-8cc2-4c75-9fa0-8462e81741b4,225,0,225,0
